Head_Type,Tail_Type,Predicted_Relation,Relation_Present,text
ORGANISM,MATTER,INFLUENCE,1,An Insect Herbivore Microbiome with High Plant Biomass-Degrading Capacity @ORGANISM$ can gain indirect access to recalcitrant @MATTER$ present in plant cell walls through symbiotic associations with lignocellulolytic microbes .
ENVIRONMENT,MATTER,OCCUR_IN,1,Source : Last updated at : ######## License - Creative Commons Attribution 4 CC-BY download_json_1 id id integer # integer id name name string # string name parentlayerid parentLayerId integer # integer parentlayerid defaultvisibility defaultVisibility boolean # boolean defaultvisibility sublayerids subLayerIds string # string sublayerids minscale minScale boolean # boolean minscale maxscale maxScale boolean # boolean maxscale data/download_json_1.csv csv original/download-json-1.json original/download-json-1.json json application/json 50778 original/wms-getcapabilities-2.html original/wms-getcapabilities-2.html html text/html 338470 agricultural soil analysis arable land arable land groundwater chemical chemistry continental scale earth science egdi environment europe european soil analysis forensic chemistry gemas geochemical geochemical analysis geochemical mapping geology geoscientificinformation grazing land groundwater heavy metals ireland land lithosphere mapping metal micka pedosphere science @ENVIRONMENT$ soil nutrient toxic element trace element @MATTER$ geographic
QUALITY,MATTER,HAVE/OF,1,"Contents of carbon , nitrogen and sulphur as well as @QUALITY$ ( @MATTER$ and KCl ) of six depth increments per CSP ."
MATTER,ORGANISM,no relation,0,"-- - 6 digit @MATTER$ tags starting with 3 were also used for woody debris items -- the reference file linking metal tags to @ORGANISM$ individual tags is called `` Tree stem reference list for the Comparative Study Sites ( CSPs ) ) Silver ID given by Anja or Christian , can be given to a woody debris item or to a standing dead tree or snagCSP metal tag number ( trees , woody debris ) , original entry ."
PHENOMENA,ORGANISM,INFLUENCE,1,Mapping the Drivers of @PHENOMENA$ Vulnerability for Australia s @ORGANISM$ Effective conservation management for climate adaptation rests on understanding the factors driving species species vulnerability in a spatially explicit manner so as to direct on-ground action .
ORGANISM,QUALITY,INFLUENCE,1,"Among these @ORGANISM$ stand multidrug-resistant enterobacteria ( MDRE ) , which intestinal @QUALITY$ can substantially vary , especially according to antibiotic exposure ."
QUALITY,QUALITY,no relation,0,"The patterns capture different aspects of @QUALITY$ and biodiversity structure , such as annual mortality rate , @QUALITY$ , species abundance distribution , beta-diversity and the speciesÃ¢â¬âarea relationship ( SAR ) ."
ORGANISM,QUALITY,no relation,0,"focal tree species identity trait ( PSI50 ) , MPa PSI50 trait ( PSI50 : water potential at which 50 % of xylem hydraulic conductivity is lost , data provided in KrÃƒÂ¶ber , Zhang , Ehmig , & Bruelheide ( 2014 ) , PLoS ONE , 9 , e109211 ) dimensionless real trait trait water potential at which 50 % of xylem hydraulic conductivity is lost , data provided in KrÃƒÂ¶ber , Zhang , Ehmig , & Bruelheide ( 2014 ) , PLoS ONE , 9 , e109211 Above and below ground biomass measurement ( SAWP ) , dimensionless SAWP Above and below ground biomass measurement ; Productivity ; Stocks ( SAWP : standardised annual aboveground wood productivity ; aboveground wood productivity ( AWP ) of a given focal tree in a specific census interval devided by the average AWP ( using the 50 % quantile of AWP ) of the respective census ) dimensionless real Above and below ground biomass measurement Above and below ground biomass measurement ; Productivity ; Stocks standardised annual aboveground wood productivity ; aboveground wood productivity ( AWP ) of a given focal tree in a specific census interval devided by the average AWP ( using the 50 % quantile of AWP ) of the respective census Neighbourhood diverstiy ( NCI ) , cm2 cm-2 NCI Diversity of the tree or shrub species surrounding the unit of study ( target tree , plot ) ( NCI : neighbourhood competition index ; the focal trees trees basal area relative to the total basal area of closest neighbours ) dimensionless real Neighbourhood diverstiy Diversity of the tree or shrub species surrounding the unit of study ( target @ORGANISM$ , plot ) neighbourhood competition index ; the focal trees trees basal area relative to the @QUALITY$ of closest neighbours Abundance ( nb_count ) , count nb_count Number of individuals determined for the respective category ."
ENVIRONMENT,QUALITY,HAVE/OF,1,The cbbL form IA and IC genes associated with carbon fixation were analyzed to gain insight into metabolic potential of chemolithoautotrophs in three soil types of @ENVIRONMENT$ which had a very different salt load and @QUALITY$ .
QUALITY,ENVIRONMENT,HAVE/OF,1,"Causes , consequences , and perspectives in the variations of intestinal @QUALITY$ of @ENVIRONMENT$ of multidrug-resistant enterobacteria The intestinal microbiota is a complex environment that hosts 1013 to 1014 bacteria ."
ORGANISM,QUALITY,no relation,0,"Methodology We conducted a 3-year field experiment in a Tibetan alpine meadow to assess the relationship between @ORGANISM$ reproductive allocation ( RA ) and species relative @QUALITY$ ( SRA ) on control , grazed and fertilized plots ."
ORGANISM,ENVIRONMENT,OCCUR_IN,1,These systems are especially vulnerable to the effects of @ORGANISM$ activities and will be the first @ENVIRONMENT$ impacted by rising sea levels .
ORGANISM,ENVIRONMENT,OCCUR_IN,1,"Threats to marine biodiversity in the U.S. are the same as those for most of the world : overexploitation of living resources ; reduced water quality ; coastal development ; shipping ; invasive @ORGANISM$ ; rising temperature and concentrations of carbon dioxide in the surface @ENVIRONMENT$ , and other changes that may be consequences of global change , including shifting currents ; increased number and size of hypoxic or anoxic areas ; and increased number and duration of harmful algal blooms ."
ORGANISM,ENVIRONMENT,OCCUR_IN,1,The species reference can be found within the metasheet z1_CSP_Main_TreeAndShrubSpecies_reference list.xls lsID @ORGANISM$ species author synonym Find the list of keywords here : synonym fullauthor Year global unique identifier fullname List of headers of the data columns in this dataset Gutianshan NNR has an area of approximately 81 km2 and was initially established as a National Forest Reserve in 1975 and became a National @ENVIRONMENT$ in 2001 .
MATTER,ORGANISM,no relation,0,"Reconciling agriculture , @MATTER$ and biodiversity in a @ORGANISM$ transformation frontier ."
ENVIRONMENT,PHENOMENA,no relation,0,Source : Last updated at : 3/6/2017 [ License - Creative Commons Attribution 3 New Zealand ( CC BY 3 NZ ) ] ( Other biodiversity_vegetation_2002 lcdb2_name LCDB2_NAME string # string lcdb2_name lcdb1_name LCDB1_NAME string # string lcdb1_name gen_veg GEN_VEG string # string gen_veg wetland WETLAND boolean # boolean wetland minor_clsa MINOR_CLSA string # string minor_clsa minor_clsb MINOR_CLSB string # string minor_clsb minor_clsc MINOR_CLSC string # string minor_clsc uncertain1 UNCERTAIN1 string # string uncertain1 uncertain2 UNCERTAIN2 string # string uncertain2 comments COMMENTS string # string comments class_cor CLASS_COR string # string class_cor bound_cor BOUND_COR string # string bound_cor wetld_cor WETLD_COR string # string wetld_cor field_com FIELD_COM string # string field_com photo_1 PHOTO_1 string # string photo_1 photo1_id PHOTO1_ID string # string photo1_id photo_east1 PHOTO_EAST1 integer # integer photo_east1 photo_nth1 PHOTO_NTH1 integer # integer photo_nth1 photo_2 PHOTO_2 string # string photo_2 photo2_id PHOTO2_ID string # string photo2_id photo_east2 PHOTO_EAST2 integer # integer photo_east2 photo_nth2 PHOTO_NTH2 integer # integer photo_nth2 district DISTRICT string # string district id ID integer # integer id data/biodiversity_vegetation_2002.csv csv original/BIODIVERSITY_VEGETATION_2002.csv original/BIODIVERSITY_VEGETATION_2002.csv csv text/csv 3102121 original/BioVeg2002_read_me.txt original/BioVeg2002_read_me.txt txt text/plain 1609 original/biodiversity-vegetation-bioveg-2002-gis-layer-1.zip original/biodiversity-vegetation-bioveg-2002-gis-layer-1.zip zip application/zip 26642309 original/biodiversity-vegetation-bioveg-2002-gis-layer-3.zip original/biodiversity-vegetation-bioveg-2002-gis-layer-3.zip zip application/zip 22189678 original/biodiversity-vegetation-bioveg-2002-gis-layer-4.zip original/biodiversity-vegetation-bioveg-2002-gis-layer-4.zip zip application/zip 11987022 biodiversity coastal ecology @ENVIRONMENT$ land cover @PHENOMENA$ sand dune terrestrial vegetation waikato wetland environment
PHENOMENA,QUALITY,INFLUENCE,1,"In a seminal study AndrÃÂ©n proposed the existence of a @PHENOMENA$ threshold in the total amount of remnant vegetation , below which landscape-scale connectivity is eroded and local @QUALITY$ and abundance become dependent on patch size ."
ENVIRONMENT,QUALITY,no relation,0,"Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open @ENVIRONMENT$ ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute @QUALITY$ open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge rainfall amount open field ( collecting bottle ) mm -- rainfall amount ( collecting bottle ) -- measured by a rainfall collecting bottle Precipitation ( am_v ) , millimeter per hour am_v Precipitation measured at the climate station or locally within sites ."
MATTER,QUALITY,no relation,0,"Contents of carbon , @MATTER$ and sulphur as well as @QUALITY$ ( H2O and KCl ) of six depth increments per CSP ."
ENVIRONMENT,ORGANISM,OCCUR_IN,1,"Comparative molecular analysis of chemolithoautotrophic bacterial diversity and community structure from coastal saline soils , Gujarat , India Background @ENVIRONMENT$ harbour high diversity of obligate as well as facultative @ORGANISM$ that contribute significantly to CO2 dynamics in soil ."
ORGANISM,QUALITY,no relation,0,These systems are especially vulnerable to the effects of @ORGANISM$ activities and will be the first areas impacted by rising @QUALITY$ .
ORGANISM,QUALITY,INFLUENCE,1,"The effects of weather on fungal abundance and richness among 25 communities in the Intermountain West Background Because moisture and temperature influence the growth of @ORGANISM$ , characterizing @QUALITY$ favorable for fungi may be used to predict the abundance and richness of fungi in habitats with different climate conditions ."
PHENOMENA,QUALITY,no relation,0,Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a @PHENOMENA$ collecting bottle ; @QUALITY$ open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( top5_t : average of the five highest five minute intensities ( tipping-bucket ) -- average of the five highest five minute intensities ( tipping-bucket ) -- measured by the tipping-bucket rain gauge ) dimensionless real Precipitation Precipitation measured at the climate station or locally within sites .
QUALITY,MATTER,no relation,0,"Contents of carbon , @MATTER$ and sulphur as well as pH-values ( H2O and KCl ) of six @QUALITY$ increments per CSP ."
QUALITY,ORGANISM,no relation,0,I used genus and family name to calculate @QUALITY$ between @ORGANISM$ .
ORGANISM,ENVIRONMENT,INFLUENCE,1,This suggests that the biomass contributed by a species to an assemblage can be used to approximately predict the proportional decline in an @ENVIRONMENT$ process when that @ORGANISM$ is lost .
ENVIRONMENT,PHENOMENA,no relation,0,geological-surv_8fefeaa1-0632-46ac-bbc0-6f03393f360c GSI GEMAS European Geochemical Soil Analysis GSI GEMAS European Geochemical @ENVIRONMENT$ Analysis The GEMAS dataset is based on low density geochemical sampling of @PHENOMENA$ ( Ap ) and grassland ( Gr ) soils across 34 European countries .
ENVIRONMENT,MATTER,no relation,0,"Biodiversity decline from @ENVIRONMENT$ to @MATTER$ is thus accompanied by even stronger reductions in functionality , threatening to severely limit the functional resilience of communities to cope with future global changes ."
ENVIRONMENT,LOCATION,no relation,0,"The spatial identification of hot spots highlighted the ecological importance of most of the western Mediterranean shelves ( and in particular , the Strait of Gibraltar and the adjacent Alboran Sea ) , western @ENVIRONMENT$ , the Adriatic , and the @LOCATION$ , which show high concentrations of endangered , threatened , or vulnerable species ."
ORGANISM,QUALITY,HAVE/OF,1,"BEF research plot where the abundance of @ORGANISM$ x is estimated @QUALITY$ ( CSP07 ) , CSP07 Number of individuals determined for the respective category ."
ORGANISM,QUALITY,HAVE/OF,1,"focal tree species identity trait ( PSI50 ) , MPa PSI50 trait ( PSI50 : water potential at which 50 % of xylem hydraulic conductivity is lost , data provided in KrÃƒÂ¶ber , Zhang , Ehmig , & Bruelheide ( 2014 ) , PLoS ONE , 9 , e109211 ) dimensionless real trait trait water potential at which 50 % of xylem hydraulic conductivity is lost , data provided in KrÃƒÂ¶ber , Zhang , Ehmig , & Bruelheide ( 2014 ) , PLoS ONE , 9 , e109211 Above and below ground biomass measurement ( SAWP ) , dimensionless SAWP Above and below ground biomass measurement ; Productivity ; Stocks ( SAWP : standardised annual aboveground wood productivity ; aboveground wood productivity ( AWP ) of a given focal tree in a specific census interval devided by the average AWP ( using the 50 % quantile of AWP ) of the respective census ) dimensionless real Above and below ground biomass measurement Above and below ground biomass measurement ; Productivity ; Stocks standardised annual aboveground wood productivity ; aboveground wood productivity ( AWP ) of a given focal tree in a specific census interval devided by the average AWP ( using the 50 % quantile of AWP ) of the respective census Neighbourhood diverstiy ( NCI ) , cm2 cm-2 NCI Diversity of the tree or shrub species surrounding the unit of study ( target tree , plot ) ( NCI : neighbourhood competition index ; the focal @ORGANISM$ have @QUALITY$ relative to the total basal area of closest neighbours ) dimensionless real Neighbourhood diverstiy Diversity of the tree or shrub species surrounding the unit of study ( target tree , plot ) neighbourhood competition index ; the focal trees trees basal area relative to the total basal area of closest neighbours Abundance ( nb_count ) , count nb_count Number of individuals determined for the respective category ."
ORGANISM,PHENOMENA,INFLUENCE,1,; Datagroup description : Helper ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set Indicator for @ORGANISM$ that can be considered dead because of the @PHENOMENA$ .
ORGANISM,LOCATION,OCCUR_IN,1,"Moreover , the use of leaves of the introduced @ORGANISM$ in @LOCATION$ , Colocasia esculenta in Turkey , and Phytolacca americana in Macedonia shows the dynamic nature of folk cuisines ."
QUALITY,ORGANISM,no relation,0,"Causes , consequences , and perspectives in the variations of intestinal @QUALITY$ of colonization of multidrug-resistant enterobacteria The intestinal @ORGANISM$ is a complex environment that hosts 1013 to 1014 bacteria ."
PHENOMENA,ENVIRONMENT,no relation,0,Source : Last updated at : ######## License - Creative Commons Attribution 4 CC-BY download_json_1 id id integer # integer id name name string # string name parentlayerid parentLayerId integer # integer parentlayerid defaultvisibility defaultVisibility boolean # boolean defaultvisibility sublayerids subLayerIds string # string sublayerids minscale minScale boolean # boolean minscale maxscale maxScale boolean # boolean maxscale data/download_json_1.csv csv original/download-json-1.json original/download-json-1.json json application/json 50778 original/wms-getcapabilities-2.html original/wms-getcapabilities-2.html html text/html 338470 agricultural soil analysis arable land arable land groundwater chemical chemistry continental scale earth science egdi environment europe european soil analysis forensic chemistry gemas geochemical geochemical analysis geochemical mapping geology geoscientificinformation @PHENOMENA$ land groundwater heavy metals ireland land lithosphere mapping metal micka pedosphere science @ENVIRONMENT$ soil nutrient toxic element trace element water geographic
ORGANISM,QUALITY,no relation,0,( CSP01 : BEF research plot where the abundance of @ORGANISM$ x is estimated ) dimensionless real @QUALITY$ Number of individuals determined for the respective category .
